STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZAF,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,South Africa,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,14.955271249453874,14.925265231763513,14.89525921407315,14.865253196382792,14.835247178692429,14.805241161002069,14.775235143311708,14.745229125621348,14.715223107930985,14.685217090240624,14.655211072550264,14.625205054859903,14.595199037169543,14.56519301947918,14.535187001788819,14.505180984098459,14.475174966408098,14.445168948717738,14.415162931027375,14.385156913337017,14.355150895646654,14.325144877956292,14.295138860265933,14.26513284257557,14.23512682488521,14.205120807194849,14.175114789504489,14.145108771814128,14.115102754123765,14.085096736433405,14.055090718743044,14.025084701052684,13.995078683362323,13.96507266567196
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BWA,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Botswana,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,33.179291726218835,32.970550350254975,32.76180897429111,32.553067598327246,32.344326222363385,32.13558484639952,31.926843470435657,31.718102094471796,31.509360718507935,31.300619342544067,31.091877966580206,30.883136590616346,30.674395214652478,30.465653838688617,30.256912462724756,30.048171086760888,29.839429710797027,29.630688334833167,29.421946958869306,29.213205582905438,29.004464206941577,28.795722830977716,28.58698145501385,28.378240079049988,28.169498703086127,27.960757327122266,27.7520159511584,27.543274575194538,27.334533199230677,27.12579182326681,26.917050447302948,26.708309071339087,26.49956769537522,26.29082631941136
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LTE,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Late-demographic dividend,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,39.85446543661778,39.81796548214484,39.78279386255999,39.74598637318365,39.70685900800206,39.6667577387826,39.62497654736161,39.57941628183943,39.559354751583314,39.542334955234075,39.52441565871772,39.50050466508602,39.48255762683951,39.46217969650727,39.43104432016529,39.4147814308712,39.398612308660425,39.381799450837185,39.36475764358807,39.384238603135984,39.403686409620356,39.42257689118934,39.44180599758955,39.46198322887359,39.47928850276638,39.481040667708285,39.4998201303943,39.51436718065295,39.53329434553572,39.54829535952018,39.56418812792182,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NRU,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Nauru,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYR,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Syrian Arab Republic,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.0245946240069648,2.0572423549896617,2.089890085972358,2.122537816955055,2.155185547937752,2.1878332789204484,2.2204810099031453,2.253128740885842,2.2857764718685383,2.318424202851235,2.351071933833932,2.3837196648166286,2.4163673957993255,2.451549648673675,2.4845018249169253,2.5171869041782426,2.5490388280782006,2.5815726421258987,2.6142452624700505,2.646917882814202,2.67973642650983,2.712410826117737,2.745085225725644,2.7777596253335513,2.8104340249414586,2.8431084245493654,2.8431084245493654,2.8431084245493654,2.8431084245493654,2.8431084245493654,2.8431084245493654,2.8431084245493654,2.8426727658879267,2.8431084245493654
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.7860767977246226,1.779710346154671,1.7733407378853556,1.7669742976482168,1.7606078574110777,1.7542414260743535,1.7478749858372145,1.7415085456000754,1.7351421053629361,1.728775665125797,1.722409224888658,1.7204797928980207,1.7185503609073831,1.716648430907329,1.714720494202127,1.7127895051031792,1.7108509056847647,1.7089184110374673,1.7069874425707239,1.7054389939633205,1.7035103286146323,1.697432026912546,2.956405437181809,2.937936996813667,2.919451746953556,2.900938038527913,2.883323261220978,2.86394290918001,2.8444204691597164,2.8266207876558407,2.8088952608016657,2.791120844538008,2.773553927044466,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GRL,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Greenland,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.438396254023998E-4,6.438396254023998E-4,6.438396254023998E-4,6.438396254023998E-4,6.438396254023998E-4,6.438396254023998E-4,6.438396254023998E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4,5.359970763795834E-4
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TKM,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Turkmenistan,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144,8.782159044964144
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,St. Lucia,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.868852459016395,34.82622950819672,34.78360655737705,34.74098360655737,34.6983606557377,34.65573770491803,34.613114754098355,34.570491803278685,34.527868852459015,34.485245901639345,34.442622950819676,34.403278688524594,34.363934426229505,34.324590163934424,34.28524590163934,34.24590163934426,34.20655737704918,34.1672131147541,34.12786885245902,34.088524590163935,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885,34.04918032786885
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BFA,WB_WDI_AG_LND_FRST_ZS,_T,_T,_T,PT_LAR,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Burkina Faso,Forest area (% of land area),Total,All age ranges or no breakdown by age,Total,Percentage of land area,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,28.20394736842105,28.021162280701752,27.838377192982456,27.655592105263153,27.47280701754386,27.290021929824558,27.10723684210526,26.924451754385963,26.741666666666664,26.558881578947368,26.37609649122807,26.193347953216374,26.010599415204677,25.827850877192983,25.645102339181285,25.46235380116959,25.279605263157894,25.0968567251462,24.914108187134502,24.73135964912281,24.54861111111111,24.365789473684213,24.182967836257312,24.000146198830407,23.81732456140351,23.63450292397661,23.45175438596491,23.269005847953217,23.086257309941523,22.903508771929825,22.720760233918128,22.53801169590643,22.355263157894736,22.172514619883042
