FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AZE,Azerbaijan,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,234.951,252.834,245.023,245.204,250.052,260.551,250.351,214.394,185.98,170.865,160.648,131.741,126.155,126.645,126.353,132.055,127.227,125.609,136.035,153.898,166.837,164.092,151.071,151.163,130.168,128.439,145.739,150.091,154.212,157.241,171.826,170.192,166.954,176.167,185.891,184.929,197.549,210.286,227.849
A,Annual,BDI,Burundi,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,0.467,0.528,0.464,0.588,0.757,0.784,0.822,0.948,1.361,1.511,1.591,1.794,1.657,1.858,1.946,1.879,1.957,1.958,1.981,1.951,1.652,1.407,1.331,1.079,1.244,1.079,1.25,1.956,1.287,1.299,1.822,2.143,2.018,2.201,2.058,2.078,2.273,2.754,3.342,3.673,3.532,3.689,,
A,Annual,BEL,Belgium,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,412.941,397.859,417.655,465.417,510.775,539.591,529.334,562.733,570.326,550.783,518.019,549.579,550.602,574.714,591.323,566.106,538.297,514.88,498.969,521.477,544.368,561.724,578.68,590.204,594.57,621.353,642.88,641.509,631.183,663.908,672.12,713.881,721.262,735.386,730.141,743.348,736.859,733.474,761.691,764.62,756.118,758.241,763.469,775.734,715.849,764.721,713.592,684.924,701.93,650.872,657.449,709.505,716.058,714.225,738.434,664.012,738.345,694.486,642.063
A,Annual,BEN,Benin,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,1.913,1.927,1.36,1.973,1.956,2.256,2.198,1.742,2.159,2.225,2.557,2.988,3.32,3.651,3.82,4.123,4.501,4.869,5.248,2.577,6.865,7.813,8.952,10.394,10.959,10.288,14.049,16.59,16.966,18.842,21.61,20.145,19.12,19.481,20.596,22.778,27.779,29.458,32.679,29.696,31.843,32.295,,
A,Annual,BFA,Burkina Faso,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,1.769,1.764,1.764,1.764,1.769,1.705,2.018,2.108,2.21,1.981,2.039,2.359,2.386,2.647,2.952,3.018,3.211,5.068,4.553,4.688,4.259,4.733,4.959,5.487,4.943,5.249,5.175,7.331,8.007,7.522,8.21,9.353,11.028,13.222,12.313,15.649,15.036,17.427,19.381,19.84,18.918,19.995,,
A,Annual,BGD,Bangladesh,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,13.407,15.191,19.48,20.747,21.331,24.893,25.438,27.024,29.795,34.75,36.84,40.641,40.19,43.443,48.274,52.537,57.985,64.576,69.614,73.856,71.255,77.711,85.436,90.69,107.109,112.202,117.891,125.559,126.985,136.121,155.585,156.023,164.916,175.367,190.132,205.741,211.576,222.774,245.258,251.009,271.52,294.953,306.461,318.42,385.018,386.638,402.839,430.201,482.462,457.292,492.381,517.975,508.489
A,Annual,BGR,Bulgaria,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,119.926,128.565,149.341,166.938,186.068,209.358,217.997,224.318,233.074,240.031,265.313,281.004,296.127,306.622,318.254,335.992,331.034,339.126,341.428,339.449,336.879,343.634,346.295,354.368,351.288,324.408,262.598,247.091,263.601,253.54,272.66,271.906,257.145,247.26,217.257,217.377,224.567,217.838,225.353,217.915,236.086,240.701,232.64,230.224,202.106,211.471,224.607,213.428,198.108,211.55,224.68,213.117,218.174,218.814,211.551,195.374,221.896,229.475,199.267
A,Annual,BHR,Bahrain,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,40.174,46.285,49.353,51.83,50.3,59.786,64.765,77.904,67.1,68.611,75.094,84.05,70.512,84.209,82.967,83.113,83.316,98.161,103.041,105.72,111.877,115.79,123.547,129.081,133.713,150.004,160.051,164.328,172.081,170.371,172.235,170.415,183.07,203.592,201.824,203.605,203.153,209.008,211.637,232.196,230.628,235.749,,
A,Annual,BHS,"Bahamas, The",OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,17.676,18.257,15.739,11.962,10.732,9.443,9.506,10.608,9.873,11.291,12.012,10.654,9.014,9.518,10.574,12.637,14.246,13.885,15.769,13.869,16.463,16.778,17.402,12.155,13.473,12.954,15.046,17.327,16.932,12.729,13.263,11.71,13.534,12.594,12.364,11.819,12.373,14.755,16.027,16.035,13.536,14.46,,
A,Annual,BIH,Bosnia and Herzegovina,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.597,31.492,33.129,54.931,34.169,48.741,57.563,58.392,64.674,64.34,64.667,56.421,58.27,53.846,55.036,52.572,59.439,71.468,76.505,74.126,72.109,73.227,70.906,71.015,72.588,72.034,73.247,69.548,64.592,75.276,,
